Date,Israeli_Lines_MWs,Gaza_Power_Plant_MWs,Egyptian_Lines_MWs,Total_daily_Supply_available_in_MWs,Overall_demand_in_MWs,Power_Cuts_hours_day_400mg,Temp
7/1/2018,120,20,0,140,517,6,30
7/2/2018,120,20,0,140,528,6,31
7/3/2018,120,20,0,140,522,6,32
7/4/2018,120,20,0,140,517,6,31
7/5/2018,120,20,0,140,512,6,35
7/6/2018,120,20,0,140,519,6,37
7/7/2018,120,20,0,140,513,6,36
7/8/2018,120,20,0,140,517,6,35
7/9/2018,108,20,0,128,536,5,34
7/10/2018,109,20,0,129,531,5,35
7/11/2018,118,20,0,138,537,6,33
7/12/2018,118,20,0,138,529,6,31
7/13/2018,118,20,0,138,520,6,34
7/14/2018,118,20,0,138,515,6,35
7/15/2018,106,20,0,126,520,5,37
7/16/2018,118,20,0,138,524,6,33
7/17/2018,118,20,0,138,530,6,35
7/18/2018,118,20,0,138,522,6,36
7/19/2018,118,20,0,138,529,6,35
7/20/2018,118,20,0,138,521,6,35
7/21/2018,108,20,0,128,523,5,33
7/22/2018,108,20,0,128,534,5,35
7/23/2018,108,0,0,108,549,4,36
7/24/2018,120,0,0,120,539,5,35
7/25/2018,120,0,0,120,523,5,38
7/26/2018,120,8,0,128,529,5,36
7/27/2018,120,20,0,140,523,6,33
7/28/2018,120,20,0,140,531,6,35
7/29/2018,120,20,0,140,536,6,35
7/30/2018,120,20,0,140,540,6,34
7/31/2018,120,23,0,143,536,6,32
8/1/2018,120,23,0,143,525,6,31
8/2/2018,120,23,0,143,535,6,32
8/3/2018,120,23,0,143,520,6,31
8/4/2018,120,23,0,143,531,6,33
8/5/2018,120,23,0,143,540,6,34
8/6/2018,120,23,0,143,533,6,35
8/7/2018,120,23,0,143,538,6,34
8/8/2018,120,23,0,143,538,6,35
8/9/2018,108,23,0,131,546,5,35
8/10/2018,120,23,0,143,532,6,36
8/11/2018,120,23,0,143,551,6,37
8/12/2018,120,23,0,143,533,6,36
8/13/2018,120,23,0,143,541,6,38
8/14/2018,120,23,0,143,533,6,36
8/15/2018,120,23,0,143,546,6,35
8/16/2018,120,23,0,143,538,6,36
8/17/2018,120,23,0,143,530,6,35
8/18/2018,120,23,0,143,540,6,33
8/19/2018,120,23,0,143,542,6,34
8/20/2018,120,23,0,143,534,6,34
8/21/2018,120,23,0,143,521,6,33
8/22/2018,120,23,0,143,519,6,32
8/23/2018,120,23,0,143,528,6,33
8/24/2018,120,23,0,143,531,6,34
8/25/2018,120,23,0,143,534,6,33
8/26/2018,120,23,0,143,530,6,32
8/27/2018,120,23,0,143,523,6,32
8/28/2018,120,23,0,143,539,6,34
8/29/2018,120,23,0,143,540,6,34
8/30/2018,120,23,0,143,546,6,32
8/31/2018,120,23,0,143,543,6,31
9/1/2018,120,23,0,143,546,6,33
9/2/2018,120,23,0,143,555,6,34
9/3/2018,120,21,0,141,556,6,34
9/4/2018,120,21,0,141,554,6,34
9/5/2018,120,21,0,141,550,6,33
9/6/2018,120,21,0,141,539,6,33
9/7/2018,120,21,0,141,529,6,32
9/8/2018,120,21,0,141,527,6,32
9/9/2018,120,21,0,141,528,6,33
9/10/2018,120,21,0,141,519,6,32
9/11/2018,120,21,0,141,538,6,33
9/12/2018,120,21,0,141,550,6,33
9/13/2018,120,21,0,141,524,6,32
9/14/2018,120,21,0,141,528,6,33
9/15/2018,120,21,0,141,533,6,32
9/16/2018,120,21,0,141,532,6,31
9/17/2018,120,21,0,141,534,6,31
9/18/2018,120,21,0,141,541,6,31
9/19/2018,120,21,0,141,526,6,31
9/20/2018,120,21,0,141,537,6,31
9/21/2018,120,21,0,141,538,6,30
9/22/2018,120,21,0,141,529,6,30
9/23/2018,120,21,0,141,521,6,30
9/24/2018,108,21,0,129,530,5,31
9/25/2018,120,21,0,141,503,6,30
9/26/2018,120,21,0,141,522,6,31
9/27/2018,120,21,0,141,546,6,31
9/28/2018,120,21,0,141,495,6,31
9/29/2018,120,21,0,141,505,6,30
9/30/2018,120,21,0,141,537,6,31
10/1/2018,120,21,0,141,545,6,32
10/2/2018,120,21,0,141,547,6,32
10/3/2018,120,21,0,141,532,6,31
10/4/2018,120,21,0,141,519,6,30
10/5/2018,120,21,0,141,527,6,30
